1, seth faucette, green bay packers, RB, 379, 867, 45786536
17791, bradley doran, cincinnati bengals, QB, 77, 29, 49234934
17792, john gilley, tampa bay buccaneers, QB, 29, 777, 28070461
17793, randall marrero, san diego chargers, RB, 66, 710, 14944086
17794, lorenzo johnson, kansas city chiefs, QB, 42, 16, 18029875
17795, ronald yanez, oakland raiders, WR, 194, 473, 16242590
17796, richard griffin, new orleans saints, WR, 159, 968, 36411681
17797, lawrence jones, carolina panthers, RB, 292, 839, 8653837
17798, michael smith, san francisco 49ers, QB, 230, 477, 11278499
17799, trevor washington, indianapolis colts, QB, 336, 596, 31812904
17800, steven mahr, new england patriots, QB, 244, 733, 8538790
17801, dennis drabek, chicago bears, WR, 466, 825, 4996830
17802, derek kiely, minnesota vikings, QB, 132, 688, 4909991
17803, william allen, san diego chargers, WR, 192, 22, 13755923
17804, byron sandling, minnesota vikings, QB, 411, 558, 2615877
17805, herman digeorgio, green bay packers, QB, 66, 28, 21740976
17806, brian mcdill, washington redskins, RB, 496, 25, 40330472
17807, brian graham, philadelphia eagles, QB, 398, 569, 4355164
17808, ryan walker, dallas cowboys, RB, 85, 808, 28670908
17809, george daley, dallas cowboys, WR, 208, 524, 23960842
17810, bobby davis, chicago bears, RB, 497, 939, 29885085
17811, gary sequeira, san diego chargers, RB, 261, 582, 11106721
17812, joseph moh, houston texans, WR, 242, 657, 35478294
17813, joseph waite, philadelphia eagles, WR, 406, 131, 11707705
17814, jason richards, tennessee titans, WR, 364, 321, 13388977
17815, pedro huffman, philadelphia eagles, WR, 389, 773, 12830103
17816, matthew drake, tennessee titans, QB, 262, 321, 10201954
17817, marlon lybrand, detroit lions, QB, 6, 552, 4246547
17818, arnold taylor, carolina panthers, WR, 315, 211, 21465049
17819, clarence ricks, new orleans saints, RB, 268, 287, 20047913
17820, william king, cleveland browns, WR, 265, 34, 25417060
17821, eddy perez, oakland raiders, QB, 473, 939, 43198084
17822, mark younce, kansas city chiefs, QB, 160, 689, 25432675
17823, matthew parks, philadelphia eagles, WR, 404, 384, 4900629
17824, jeffrey solomon, baltimore ravens, RB, 493, 345, 8954659
17825, richard curtis, seattle seahawks, WR, 497, 82, 13988322
17826, joseph townley, new york giants, QB, 309, 925, 22656466
17827, jeremy alday, buffalo bills, RB, 379, 579, 4464564
17828, edward robinson, seattle seahawks, WR, 456, 297, 10236681
17829, keith ussery, new orleans saints, RB, 45, 276, 34850470
17830, john lopez, pittsburgh steelers, QB, 409, 551, 1610631
17831, arthur hogans, new york jets, QB, 160, 61, 19751876
17832, marco hackett, seattle seahawks, WR, 291, 786, 37867326
17833, george mulkey, new england patriots, RB, 201, 907, 18601361
17834, melvin hoban, chicago bears, WR, 493, 439, 36034512
17835, brandon anderson, pittsburgh steelers, QB, 169, 185, 5156313
17836, graig byers, indianapolis colts, RB, 364, 539, 26161566
17837, james clayton, kansas city chiefs, QB, 63, 306, 36930754
17838, robert cabiness, san diego chargers, QB, 45, 685, 37545442
17839, james morgan, atlanta falcons, QB, 345, 690, 13268698
17840, donald tartaglione, houston texans, QB, 181, 421, 26922387
17841, paul steinman, detroit lions, QB, 21, 756, 8171657
17842, john silvernail, washington redskins, QB, 284, 147, 38816514
17843, oren montemayor, carolina panthers, RB, 33, 903, 40211799
17844, matthew henry, green bay packers, QB, 258, 397, 25407241
17845, richard delaney, atlanta falcons, RB, 379, 281, 21789875
17846, norris lewis, cincinnati bengals, QB, 56, 255, 47025910
17847, terry mitchell, san francisco 49ers, RB, 126, 283, 7487092
17848, john christopher, oakland raiders, WR, 97, 887, 21593423
17849, wallace watkins, oakland raiders, WR, 387, 562, 14654340
17850, ronald hernandez, baltimore ravens, WR, 238, 713, 48013459
17851, israel mcbride, chicago bears, QB, 349, 79, 48034661
17852, freddie wolery, washington redskins, WR, 484, 813, 32290595
17853, william rodman, philadelphia eagles, RB, 342, 508, 29906557
17854, clifford lipe, new york jets, WR, 219, 330, 28741198
17855, joey campanelli, tampa bay buccaneers, WR, 267, 701, 6239426
17856, james castro, indianapolis colts, RB, 2, 542, 37628093
17857, zachery shelton, indianapolis colts, RB, 295, 799, 7793757
17858, duane reuter, new york giants, QB, 208, 262, 32681635
17859, jon lysak, chicago bears, QB, 3, 504, 13816739
17860, joel crandall, houston texans, QB, 215, 210, 35397777
17861, george lusane, new england patriots, QB, 196, 915, 39071097
17862, robert richards, cincinnati bengals, QB, 299, 932, 23001625
17863, charles gray, kansas city chiefs, QB, 120, 121, 44504379
17864, william stribley, arizona cardinals, RB, 174, 883, 28937240
17865, bob carmichael, pittsburgh steelers, RB, 476, 354, 17388578
17866, charles regis, detroit lions, WR, 336, 301, 11832526
17867, gerald johnson, arizona cardinals, RB, 259, 90, 31945749
17868, christopher nesbitt, baltimore ravens, WR, 303, 495, 9174287
17869, joel riley, cincinnati bengals, WR, 361, 210, 20174104
17870, maurice essex, denver broncos, WR, 72, 852, 46633254
17871, adrian dasilva, cleveland browns, WR, 431, 502, 43833155
17872, guy black, detroit lions, QB, 339, 709, 9300683
17873, norman mcgowan, cleveland browns, RB, 386, 205, 41126244
17874, james breeden, chicago bears, WR, 364, 404, 43753752
17875, lemuel whitney, new orleans saints, RB, 459, 156, 2711165
17876, paul eoff, dallas cowboys, RB, 166, 288, 3294238
17877, joe otis, kansas city chiefs, WR, 417, 83, 8453683
17878, william higgins, baltimore ravens, QB, 50, 661, 17417777
17879, omar clark, new york giants, WR, 284, 342, 2173098
17880, james dotson, green bay packers, RB, 47, 350, 8198346
17881, albert castro, philadelphia eagles, QB, 151, 554, 15535879
17882, billy clarke, pittsburgh steelers, QB, 319, 714, 12573907
17883, blake sellars, atlanta falcons, QB, 36, 432, 26007031
17884, michael hernandez, cincinnati bengals, RB, 76, 84, 41003395
17885, travis peters, new york giants, QB, 281, 114, 15130457
17886, jack aucoin, pittsburgh steelers, QB, 1, 586, 44539483
17887, joseph hicks, atlanta falcons, RB, 170, 903, 1362991
17888, roger pearl, san diego chargers, RB, 196, 161, 19523772
17889, tyrone mahoney, buffalo bills, RB, 401, 130, 2702970
17890, paul lengerich, detroit lions, QB, 283, 429, 19577219
17891, charles cardinale, seattle seahawks, QB, 460, 730, 49400274
17892, charles humphrey, houston texans, QB, 82, 100, 44078035
17893, peter carden, miami dolphins, WR, 277, 111, 27929972
17894, alex izquierdo, new york jets, QB, 250, 532, 34442117
17895, ira sullivan, san diego chargers, RB, 417, 705, 12625663
17896, mitchell estrada, indianapolis colts, WR, 260, 813, 6462503
17897, javier larkins, new england patriots, QB, 190, 51, 31629945
17898, travis woods, miami dolphins, RB, 290, 692, 2383061
17899, otis zingaro, buffalo bills, QB, 410, 568, 17904225
17900, jermaine valadez, san diego chargers, WR, 85, 160, 47954665
17901, jackie simpkins, baltimore ravens, QB, 117, 853, 14204109
17902, john mccrory, miami dolphins, QB, 371, 567, 21616077
17903, daniel hill, kansas city chiefs, RB, 310, 207, 19376507
17904, john blair, carolina panthers, WR, 390, 263, 44985749
17905, francis beckett, new orleans saints, QB, 295, 221, 2142240
17906, matthew hernandez, new orleans saints, QB, 75, 244, 35227158
17907, derrick ulmer, atlanta falcons, RB, 321, 572, 31692472
17908, oscar sandoval, tampa bay buccaneers, QB, 379, 359, 33749771
17909, otis white, minnesota vikings, QB, 179, 116, 6237575
17910, claude sorbo, jacksonville jaguars, WR, 415, 603, 26542452
17911, alton bailey, denver broncos, RB, 407, 346, 46022976
17912, steven castanada, cincinnati bengals, WR, 475, 660, 26757023
17913, scott slick, kansas city chiefs, RB, 203, 284, 987125
17914, patrick brooks, chicago bears, WR, 51, 681, 11839563
17915, glen roger, st louis rams, QB, 427, 204, 28696901
17916, james melton, cleveland browns, WR, 394, 672, 29477423
17917, lawrence dotson, chicago bears, RB, 304, 422, 26267486
17918, richard miller, arizona cardinals, QB, 302, 269, 40620351
17919, bryan rogers, minnesota vikings, WR, 381, 276, 33538765
17920, milton knecht, denver broncos, WR, 476, 309, 46909734
17921, james greene, miami dolphins, RB, 205, 838, 7992793
17922, tom petersen, green bay packers, RB, 439, 484, 41488370
17923, robert evans, tennessee titans, QB, 154, 481, 7158472
17924, gregory lozano, dallas cowboys, WR, 262, 413, 36100667
17925, timothy vincent, buffalo bills, RB, 235, 819, 33429141
17926, fred walker, philadelphia eagles, QB, 175, 500, 38617595
17927, edmond sylvester, new york giants, RB, 306, 933, 12345487
17928, todd edwards, pittsburgh steelers, RB, 68, 578, 6676909
17929, anthony ybarra, st louis rams, QB, 456, 377, 6279265
17930, harold daniele, san francisco 49ers, QB, 153, 317, 33344648
17931, jimmy hane, tampa bay buccaneers, RB, 4, 976, 42574690
17932, edward hulsizer, baltimore ravens, WR, 284, 665, 6642584
17933, dennis neal, buffalo bills, QB, 473, 503, 41651719
17934, john chiarello, new england patriots, WR, 197, 207, 25427862
17935, john grant, tennessee titans, QB, 18, 763, 36538635
17936, william fidler, minnesota vikings, QB, 155, 671, 7859435
17937, stan flores, minnesota vikings, QB, 80, 647, 38084796
17938, louis alvarez, pittsburgh steelers, WR, 410, 815, 8388621
17939, carlos hunter, dallas cowboys, WR, 30, 508, 22077959
17940, corey wells, detroit lions, QB, 217, 808, 13690523
17941, peter gajewski, denver broncos, QB, 362, 573, 43663055
17942, joseph tumbleson, cleveland browns, RB, 39, 749, 8920579
17943, james schmidgall, cincinnati bengals, WR, 75, 679, 39968730
17944, james babcock, new england patriots, RB, 259, 641, 31385578
17945, daniel ballard, kansas city chiefs, WR, 350, 116, 46796519
17946, james davis, tennessee titans, RB, 62, 964, 8762315
17947, edwin porch, kansas city chiefs, QB, 184, 83, 7498780
17948, john adams, arizona cardinals, RB, 215, 76, 20762624
17949, desmond wood, buffalo bills, RB, 471, 363, 43035269
17950, ray miller, houston texans, RB, 7, 871, 17274078
17951, walter frye, green bay packers, RB, 370, 776, 3814809
17952, douglas weber, kansas city chiefs, WR, 321, 909, 9580634
17953, keith napoli, new orleans saints, QB, 5, 446, 33239530
17954, charles lovern, arizona cardinals, RB, 234, 698, 11992217
17955, richard harris, atlanta falcons, QB, 268, 907, 25924014
17956, jeffery negri, chicago bears, RB, 497, 896, 37349714
17957, william jacobs, chicago bears, RB, 128, 935, 23357878
17958, patrick brannigan, denver broncos, QB, 165, 736, 9683770
17959, edward derby, new orleans saints, QB, 370, 927, 39644870
17960, richard carter, new york jets, RB, 126, 614, 22518711
17961, nicholas skinner, new york jets, QB, 403, 186, 21452150
17962, shawn thorpe, st louis rams, QB, 464, 839, 41313444
17963, michael mcgalliard, indianapolis colts, RB, 143, 566, 47824686
17964, derek nau, new england patriots, QB, 42, 536, 48311084
17965, abram augustine, tennessee titans, QB, 334, 78, 34921835
17966, tim gallahan, new york jets, QB, 480, 443, 10369089
17967, kenneth manigault, detroit lions, WR, 192, 947, 35533853
17968, raymond robinson, tampa bay buccaneers, RB, 421, 829, 36800990
17969, orlando nichols, green bay packers, QB, 402, 733, 34593214
17970, javier dotolo, san diego chargers, QB, 72, 57, 13273219
17971, angel smith, atlanta falcons, QB, 478, 814, 42716706
17972, thomas davis, new orleans saints, WR, 426, 250, 4679506
17973, joshua dominguez, indianapolis colts, QB, 11, 985, 46062074
17974, andrea collier, new england patriots, RB, 44, 607, 4376081
17975, ian jendras, chicago bears, WR, 418, 187, 25270393
17976, rickey perez, new orleans saints, RB, 338, 220, 48654169
17977, gerry davis, oakland raiders, WR, 145, 199, 4465784
17978, julian hall, tampa bay buccaneers, WR, 31, 858, 10119569
17979, merlin reeves, baltimore ravens, RB, 465, 890, 48206413
17980, james bingham, buffalo bills, WR, 22, 856, 41557431
17981, elliott rice, detroit lions, RB, 315, 835, 35695368
17982, christopher mock, new england patriots, QB, 125, 439, 33650752
17983, james webb, new york giants, WR, 37, 636, 30696847
17984, lee holloway, tennessee titans, QB, 74, 1000, 41431267
17985, luther miller, denver broncos, RB, 232, 173, 28921181
17986, george hoffpauir, oakland raiders, RB, 221, 865, 11400629
17987, dennis lambert, st louis rams, QB, 346, 929, 6789897
17988, patrick evans, oakland raiders, QB, 204, 287, 43243589
17989, daniel lorenz, indianapolis colts, QB, 315, 16, 22207148
17990, bobby leaming, oakland raiders, WR, 41, 375, 46057730
17991, jonathan dennis, new england patriots, RB, 459, 20, 24473416
17992, larry parker, denver broncos, RB, 312, 405, 11878407
17993, terrell hand, new york jets, QB, 406, 546, 4877378
17994, dirk schott, denver broncos, WR, 199, 224, 45573214
17995, ronald powell, minnesota vikings, QB, 260, 339, 45410110
17996, maria fuller, washington redskins, QB, 319, 757, 46489382
17997, clayton wheeler, tampa bay buccaneers, QB, 351, 78, 49507104
17998, vern phelps, minnesota vikings, RB, 220, 921, 1274546
17999, jeff rodriquez, chicago bears, QB, 158, 547, 27036989
18000, nathan powell, oakland raiders, RB, 105, 826, 11982728
18001, warren leibowitz, washington redskins, RB, 214, 970, 2094532
18002, william steffes, st louis rams, QB, 350, 626, 49582779
18003, anthony ellis, baltimore ravens, QB, 53, 441, 1243606
18004, curtis mathis, carolina panthers, RB, 73, 360, 11957193
18005, robert goree, washington redskins, QB, 150, 829, 9670993
18006, miguel parker, minnesota vikings, RB, 179, 576, 39835246
18007, richard villa, minnesota vikings, RB, 186, 300, 45597894
18008, john shumpert, cleveland browns, WR, 344, 980, 10874091
18009, brian diaz, buffalo bills, WR, 465, 844, 45971275
18010, alex redway, new york giants, QB, 13, 544, 32920312
18011, jorge hamlin, jacksonville jaguars, WR, 149, 754, 1225489
18012, raymond myers, denver broncos, RB, 289, 407, 24879963
18013, lorenzo syring, carolina panthers, WR, 44, 478, 17087592
18014, john blair, atlanta falcons, RB, 174, 700, 24718829
18015, lowell jones, oakland raiders, QB, 435, 572, 42754216
18016, vincent woods, jacksonville jaguars, RB, 266, 802, 10347084
18017, james brose, dallas cowboys, QB, 349, 743, 12902366
18018, jamal schmidt, green bay packers, QB, 102, 111, 26101335
18019, heriberto rossin, new england patriots, QB, 174, 170, 10627873
18020, charles rose, san francisco 49ers, RB, 183, 31, 13566661
18021, william garrard, baltimore ravens, WR, 495, 200, 49759323
18022, cedric jackson, tampa bay buccaneers, WR, 209, 34, 45943665
18023, donald lawson, buffalo bills, WR, 199, 890, 1605982
18024, samuel nicholas, seattle seahawks, WR, 475, 68, 4891687
18025, edward mannella, cleveland browns, QB, 171, 526, 15156698
18026, arthur frame, cincinnati bengals, WR, 482, 738, 37133627
18027, john cropley, seattle seahawks, QB, 11, 226, 27306131
18028, anthony matthews, new york jets, RB, 472, 456, 20401116
18029, paul best, baltimore ravens, RB, 48, 995, 7541403
18030, evan seeman, baltimore ravens, WR, 341, 906, 6677620
18031, brandon allen, san francisco 49ers, QB, 67, 597, 13327061
18032, kenneth walton, new york giants, QB, 105, 866, 2880729
18033, joseph german, carolina panthers, QB, 410, 91, 27887185
18034, christopher liedtke, houston texans, QB, 53, 37, 12455032
18035, edwin skelton, cincinnati bengals, RB, 329, 653, 25945770
18036, chris brown, cleveland browns, WR, 334, 523, 34901268
18037, michael cox, pittsburgh steelers, RB, 86, 933, 40463716
18038, bradley houston, new orleans saints, RB, 240, 841, 48001088
18039, jack mahoney, atlanta falcons, RB, 291, 186, 40687162
18040, sean verduzco, cincinnati bengals, QB, 135, 42, 49465596
18041, robert linder, kansas city chiefs, WR, 293, 427, 13194753
18042, david birdsong, buffalo bills, RB, 183, 665, 41013582
18043, raymond kennison, tampa bay buccaneers, QB, 464, 832, 12666458
18044, brent jarmon, washington redskins, QB, 153, 190, 27602592
18045, james owens, detroit lions, RB, 89, 923, 27364589
18046, george macias, tennessee titans, RB, 116, 494, 20983117
18047, miguel gray, tennessee titans, QB, 238, 607, 11123111
18048, richard etter, kansas city chiefs, QB, 170, 674, 38386669
18049, hector leblanc, carolina panthers, QB, 487, 817, 18106310
18050, william martinez, denver broncos, WR, 269, 374, 25681141
18051, mike campbell, seattle seahawks, WR, 59, 389, 12899810
18052, david steen, pittsburgh steelers, WR, 303, 97, 21505811
18053, ralph flesher, minnesota vikings, RB, 281, 295, 21413047
18054, robert patterson, oakland raiders, WR, 8, 852, 949762
18055, tony talbert, indianapolis colts, QB, 195, 242, 18417848
18056, travis brown, houston texans, WR, 65, 797, 24756462
18057, arthur sanchez, dallas cowboys, QB, 348, 602, 35877091
18058, richard ringel, denver broncos, WR, 113, 331, 8392875
18059, daniel collins, san francisco 49ers, QB, 356, 383, 29225097
18060, james medina, seattle seahawks, QB, 349, 619, 13432873
18061, james schmitmeyer, indianapolis colts, WR, 187, 512, 32469217
18062, benjamin lafountain, washington redskins, WR, 277, 200, 18511346
18063, ruben freeman, dallas cowboys, QB, 483, 793, 15808537
18064, joseph rogers, carolina panthers, RB, 186, 222, 38033301
18065, jimmy wyatt, tennessee titans, RB, 224, 903, 44475601
18066, bryon muzii, carolina panthers, QB, 26, 180, 18063962
18067, leonardo salazar, oakland raiders, WR, 454, 471, 38147942
18068, robert jones, green bay packers, WR, 240, 264, 45589952
18069, roy norris, san francisco 49ers, RB, 358, 1, 17436627
18070, bernie williams, new orleans saints, QB, 26, 591, 34698278
18071, andrew gertelman, cincinnati bengals, RB, 482, 650, 7452233
18072, jack smith, new england patriots, RB, 210, 913, 37787154
18073, kevin schrader, baltimore ravens, RB, 394, 945, 3614247
18074, herman bundy, atlanta falcons, QB, 34, 466, 49743249
18075, angel matthews, pittsburgh steelers, QB, 284, 680, 45997460
18076, anthony collica, tennessee titans, QB, 77, 136, 38729738
18077, freddie church, cleveland browns, RB, 297, 857, 21007612
18078, edwin woods, new orleans saints, WR, 116, 747, 42074373
18079, edwin bartlett, kansas city chiefs, WR, 356, 265, 11386298
18080, roberto tripp, washington redskins, RB, 134, 699, 3509775
18081, patrick stucker, indianapolis colts, QB, 205, 128, 49277323
18082, clifford belcher, denver broncos, QB, 201, 736, 41864566
18083, mathew marroquin, washington redskins, QB, 414, 710, 43747471
18084, byron ballard, buffalo bills, QB, 306, 829, 35753380
18085, john bayer, cleveland browns, QB, 136, 662, 16777204
18086, nathan soto, st louis rams, WR, 449, 658, 35759971
18087, oscar ferguson, san francisco 49ers, WR, 395, 667, 10748764
18088, martin dews, miami dolphins, QB, 309, 485, 43604859
18089, joseph montagna, seattle seahawks, WR, 290, 609, 30171078
18090, david dyess, new york jets, RB, 445, 547, 16834767
18091, werner gallo, kansas city chiefs, RB, 124, 859, 24019729
18092, james jones, oakland raiders, QB, 100, 679, 36039252
18093, lonnie cather, miami dolphins, QB, 104, 933, 5459530
18094, frank gonzales, cincinnati bengals, RB, 83, 109, 32158137
18095, gerald walz, oakland raiders, WR, 159, 771, 31810675
18096, brian casarez, atlanta falcons, QB, 200, 123, 39084943
18097, herbert culotta, new orleans saints, WR, 123, 385, 3331391
18098, raymond collison, miami dolphins, QB, 275, 893, 1004812
18099, tony miller, minnesota vikings, WR, 284, 560, 44751365
18100, alan hand, green bay packers, WR, 183, 869, 21351492
18101, johnny davidson, dallas cowboys, WR, 56, 710, 3011907
18102, rudolph yin, new orleans saints, WR, 431, 308, 16960365
18103, james wood, pittsburgh steelers, WR, 141, 713, 23406919
18104, geoffrey raebel, jacksonville jaguars, RB, 220, 448, 18925820
18105, benjamin nunn, dallas cowboys, RB, 442, 156, 46630004
18106, donald king, new orleans saints, RB, 210, 584, 40517139
18107, kenneth ellis, san francisco 49ers, RB, 386, 326, 31015433
18108, john carter, new orleans saints, RB, 88, 569, 25488012
18109, stephen waits, chicago bears, QB, 349, 73, 26411780
18110, john carreno, detroit lions, RB, 384, 506, 28139279
18111, ronald lerner, dallas cowboys, QB, 123, 390, 35150319
18112, andrew chappell, cleveland browns, WR, 260, 311, 9740177
18113, phillip leffler, philadelphia eagles, WR, 144, 237, 6363162
18114, philip cassady, arizona cardinals, QB, 417, 582, 24624900
18115, william liberty, dallas cowboys, WR, 396, 279, 15265565
18116, john welke, oakland raiders, QB, 294, 237, 1255723
18117, william thomas, cleveland browns, RB, 109, 461, 18058199
18118, kristopher white, new england patriots, RB, 291, 362, 49923578
18119, christopher massey, cincinnati bengals, RB, 10, 770, 10851629
18120, jake tomidy, baltimore ravens, WR, 68, 61, 44256809
18121, ricardo harris, green bay packers, RB, 352, 379, 18600726
18122, charles tavares, san diego chargers, WR, 420, 546, 13151408
18123, warren richardson, denver broncos, WR, 490, 341, 10075333
18124, perry foreman, arizona cardinals, QB, 150, 861, 3819300
18125, john mcginnis, detroit lions, RB, 368, 496, 28108648
18126, julian paz, new orleans saints, WR, 475, 473, 6949778
18127, scott bludworth, carolina panthers, WR, 124, 925, 4916125
18128, eugene hoffman, minnesota vikings, QB, 345, 642, 34676288
18129, albert stauffer, miami dolphins, WR, 435, 5, 1936450
18130, john monte, baltimore ravens, WR, 133, 225, 9474492
18131, james martinez, kansas city chiefs, QB, 92, 294, 20132732
18132, thomas church, oakland raiders, WR, 355, 990, 1277387
18133, timothy limon, st louis rams, QB, 195, 828, 16341136
18134, robert morris, atlanta falcons, RB, 454, 264, 48139490
18135, robert hall, cleveland browns, RB, 385, 759, 4298286
18136, miguel fox, baltimore ravens, RB, 137, 128, 17812222
18137, raymond carroll, pittsburgh steelers, RB, 135, 364, 21105455
18138, donald tyler, seattle seahawks, RB, 91, 921, 23279901
18139, randy roberts, philadelphia eagles, WR, 492, 525, 40894837
18140, john thruman, green bay packers, WR, 63, 138, 48320004
18141, kenneth lizaola, arizona cardinals, RB, 456, 965, 20582615
18142, delbert christen, green bay packers, QB, 423, 308, 746530
18143, john billy, indianapolis colts, QB, 356, 493, 40234700
18144, david johnston, kansas city chiefs, QB, 453, 477, 38311720
18145, joe tatum, pittsburgh steelers, QB, 164, 919, 19242721
18146, carlo trout, tennessee titans, RB, 264, 942, 31758255
18147, louis green, denver broncos, QB, 173, 730, 15865564
18148, earl harper, san francisco 49ers, RB, 26, 983, 19256954
18149, timothy anderson, new england patriots, QB, 125, 492, 46273759
18150, allan salinas, minnesota vikings, WR, 109, 814, 9133823
18151, thomas sandoval, miami dolphins, QB, 111, 97, 24057397
18152, hubert columbus, buffalo bills, WR, 208, 223, 42824067
18153, derek martin, philadelphia eagles, RB, 400, 836, 31194972
18154, george martinez, washington redskins, RB, 30, 31, 47928848
18155, lance johnson, st louis rams, RB, 456, 360, 7127738
18156, ralph ring, chicago bears, RB, 18, 612, 47460162
18157, joe hughes, miami dolphins, QB, 164, 638, 8221371
18158, archie korol, cleveland browns, WR, 487, 905, 40242894
18159, robert roberts, dallas cowboys, RB, 277, 219, 43132121
18160, billy grossman, philadelphia eagles, WR, 202, 343, 30058443
18161, stephen drath, denver broncos, WR, 496, 226, 8330362
18162, willie russell, san francisco 49ers, QB, 344, 440, 45514436
18163, rocky semons, san diego chargers, QB, 316, 720, 14212654
18164, michael houghton, carolina panthers, RB, 27, 754, 23410712
18165, don oaks, buffalo bills, RB, 3, 957, 25238542
18166, brian muhammad, buffalo bills, WR, 54, 98, 26930641
18167, claud strzelecki, indianapolis colts, WR, 89, 623, 17829736
18168, ramon rogers, kansas city chiefs, QB, 337, 40, 38032948
18169, jeremiah baker, new york jets, QB, 419, 534, 549247
18170, william beyer, indianapolis colts, RB, 30, 350, 21496571
18171, aaron hall, carolina panthers, WR, 53, 62, 22973785
18172, pablo edgeworth, tampa bay buccaneers, QB, 221, 659, 47475178
18173, shawn schoppert, minnesota vikings, WR, 216, 57, 14792690
18174, leopoldo johnstone, atlanta falcons, WR, 34, 315, 1500182
18175, eric bostwick, san francisco 49ers, RB, 477, 904, 48571057
18176, arnold inman, minnesota vikings, WR, 212, 727, 16004652
18177, thomas niess, kansas city chiefs, QB, 136, 534, 16900010
18178, ellsworth lopez, new england patriots, RB, 289, 376, 41052765
18179, leslie herrera, green bay packers, RB, 1, 887, 4862224
18180, john doucette, minnesota vikings, RB, 408, 963, 43615472
18181, xavier gutshall, tennessee titans, WR, 148, 867, 8477655
18182, robert graham, san diego chargers, RB, 323, 927, 49079897
18183, brian jones, atlanta falcons, WR, 368, 64, 43733877
18184, brandon clark, san diego chargers, QB, 392, 86, 37224972
18185, allen thompson, philadelphia eagles, QB, 271, 76, 42805466
18186, julius watson, philadelphia eagles, RB, 418, 999, 7187559
18187, robert pierce, houston texans, RB, 348, 852, 3190251
18188, jack vining, tampa bay buccaneers, RB, 456, 45, 41662253
18189, robert rameriz, new york jets, QB, 200, 851, 10144259
18190, donald albert, philadelphia eagles, RB, 33, 630, 20265457
18191, robert abney, pittsburgh steelers, QB, 396, 623, 7059063
18192, larry jones, houston texans, WR, 416, 122, 14486030
18193, james morgan, tennessee titans, RB, 413, 485, 43166529
18194, thomas marc, arizona cardinals, RB, 26, 50, 4401383
18195, james lawrence, st louis rams, RB, 347, 136, 4872367
18196, edward elliott, indianapolis colts, QB, 115, 40, 37455430
18197, gene mata, philadelphia eagles, WR, 96, 13, 23961691
18198, weldon hereford, minnesota vikings, WR, 411, 132, 26228630
18199, leonard shaffer, jacksonville jaguars, RB, 147, 556, 11630705
18200, sean whitehurst, green bay packers, WR, 106, 874, 33668647
18201, ronald alvarez, atlanta falcons, QB, 422, 675, 24219422
18202, jessie white, dallas cowboys, WR, 137, 336, 42032392
18203, ronald garmon, arizona cardinals, RB, 344, 526, 10929075
18204, courtney fisher, pittsburgh steelers, WR, 162, 876, 7638721
18205, james hatcher, seattle seahawks, RB, 122, 38, 12887376
18206, jeremy diaz, washington redskins, QB, 293, 929, 34699477
18207, alfonzo trowell, detroit lions, WR, 275, 367, 31946925
18208, timothy dionne, chicago bears, QB, 250, 127, 1571293
18209, jack gerow, carolina panthers, WR, 345, 179, 10101123
18210, william rice, cincinnati bengals, RB, 459, 216, 32253859
18211, sammie williams, new england patriots, WR, 119, 415, 47183286
18212, craig edler, miami dolphins, WR, 149, 330, 2562055
18213, kenneth hilton, new york giants, WR, 292, 775, 18929523
18214, randy scott, kansas city chiefs, RB, 77, 283, 43993400
18215, lynn carswell, san diego chargers, WR, 104, 645, 18395885
18216, john langston, san diego chargers, RB, 30, 59, 14841149
18217, richard poynter, indianapolis colts, RB, 466, 343, 23664111
18218, william volpe, washington redskins, RB, 295, 545, 12777892
18219, john kawamura, cleveland browns, RB, 451, 907, 5255788
18220, christopher jackson, miami dolphins, RB, 367, 102, 44492262
18221, wayne lainhart, indianapolis colts, QB, 239, 959, 45975910
18222, thomas chason, carolina panthers, WR, 268, 876, 36955663
18223, richard weaver, new york jets, QB, 447, 23, 3983371
18224, erick schwarz, new york giants, QB, 435, 803, 12638553
18225, marco branam, dallas cowboys, WR, 279, 701, 12601411
18226, michael cates, chicago bears, QB, 205, 131, 8020478
18227, samuel hills, atlanta falcons, WR, 45, 292, 30222867
18228, devin mcdowell, buffalo bills, WR, 34, 484, 43119176
18229, william michelson, green bay packers, QB, 11, 639, 27770285
18230, nicholas porter, indianapolis colts, QB, 471, 649, 24466908
18231, terry cramer, cleveland browns, WR, 29, 713, 39324858
18232, jessie ralston, arizona cardinals, RB, 369, 816, 15163282
18233, kenneth hernandez, cleveland browns, RB, 162, 914, 13247848
18234, kevin bennett, dallas cowboys, QB, 165, 741, 3220169
18235, george rusboldt, denver broncos, WR, 35, 681, 26543149
18236, eugene cremer, cincinnati bengals, RB, 29, 944, 31218525
18237, jeffrey thielen, green bay packers, WR, 404, 266, 2647520
18238, steven contreras, st louis rams, QB, 134, 540, 35436772
18239, charles muncy, atlanta falcons, RB, 387, 406, 5509991
18240, ronald paradis, cincinnati bengals, WR, 26, 761, 7302504
18241, shawn stevens, st louis rams, QB, 464, 86, 6609029
18242, jerry mccarthy, cincinnati bengals, RB, 110, 451, 38726275
18243, james sher, green bay packers, QB, 233, 197, 42130119
18244, rodney seanez, arizona cardinals, QB, 417, 787, 22074110
18245, anthony richie, indianapolis colts, RB, 33, 42, 27158636
18246, clarence murdock, minnesota vikings, WR, 126, 705, 44592784
