1, 2007-10-6, raymond james, W, 3403, 9346
1552, 2004-10-3, giants, T, 3867, 8095
1553, 2018-2-13, oakland-alameda, T, 4099, 2936
1554, 2007-5-1, bank of america, T, 1723, 7376
1555, 2005-11-28, oakland-alameda, W, 1130, 5610
1556, 2005-4-20, qwest, T, 1377, 5596
1557, 2011-10-16, gillette, L, 1995, 3208
1558, 2016-7-1, paul brown, L, 2662, 4591
1559, 2018-5-27, giants, T, 3274, 2645
1560, 2014-3-4, dallas cowboys, W, 1933, 2549
1561, 2013-9-23, oakland-alameda, W, 1345, 8303
1562, 2011-12-8, cleveland browns, W, 843, 3858
1563, 2008-9-12, paul brown, W, 2958, 638
1564, 2014-9-10, university of phoenix, L, 569, 6144
1565, 2012-9-24, everbank, W, 1852, 6833
1566, 2018-10-21, ford, W, 687, 6484
1567, 2013-7-1, cleveland browns, L, 1792, 963
1568, 2014-11-4, paul brown, L, 3115, 2813
1569, 2008-5-21, gillette, T, 1877, 5390
1570, 2016-2-25, invesco, T, 2896, 6783
1571, 2013-7-24, hubert metrodome, L, 3178, 7328
1572, 2016-3-18, raymond james, W, 2081, 4882
1573, 2003-6-21, cleveland browns, L, 3835, 8004
1574, 2006-1-3, raymond james, T, 4893, 3767
1575, 2001-1-7, university of phoenix, T, 1811, 8517
1576, 2015-2-4, louisiana superdome, W, 2479, 952
1577, 2017-6-11, soldier field ii, L, 174, 9936
1578, 2014-12-6, ford, W, 2491, 9642
1579, 2012-11-8, bank of america, W, 3386, 9016
1580, 2001-6-6, giants, W, 2521, 3694
1581, 2004-8-21, lucas oil, T, 4688, 7078
1582, 2011-1-14, heinz, L, 2920, 4114
1583, 2009-7-17, candlestick, L, 1750, 4132
1584, 2012-8-18, giants, L, 3727, 9294
1585, 2009-11-24, lambeau, T, 2581, 5064
1586, 2006-5-24, oakland-alameda, L, 2746, 4942
1587, 2018-3-7, bank of america, W, 3636, 1864
1588, 2016-3-13, qualcomm, L, 277, 3290
1589, 2002-3-30, louisiana superdome, W, 3790, 8991
1590, 2006-7-3, paul brown, W, 3106, 4753
1591, 2017-1-9, qualcomm, W, 3581, 3168
1592, 2016-6-5, edward jones, T, 4986, 4259
1593, 2000-12-24, lambeau, L, 2708, 2035
1594, 2008-6-13, ralph wilson, T, 3366, 2224
1595, 2012-4-22, georgia dome, T, 4148, 9420
1596, 2005-1-5, lambeau, L, 3215, 4721
1597, 2018-10-19, fedexfield, T, 2191, 7293
1598, 2009-4-10, qualcomm, T, 1388, 2554
1599, 2004-11-23, lambeau, L, 3415, 6768
1600, 2018-7-18, soldier field ii, W, 2533, 6269
1601, 2012-2-6, ford, W, 2355, 7493
1602, 2007-6-15, lucas oil, W, 1542, 4307
1603, 2004-10-28, fedexfield, T, 422, 4038
1604, 2006-7-16, raymond james, T, 193, 4127
1605, 2015-12-24, dallas cowboys, T, 2126, 3566
1606, 2016-6-10, heinz, L, 599, 8040
1607, 2009-2-17, ford, W, 1917, 8070
1608, 2003-9-7, giants, L, 2575, 3734
1609, 2009-11-1, edward jones, T, 472, 6656
1610, 2016-3-15, lucas oil, T, 1200, 5245
1611, 2010-3-6, invesco, L, 1679, 7399
1612, 2003-3-12, oakland-alameda, T, 2274, 5856
1613, 2012-2-27, ralph wilson, W, 2081, 189
1614, 2007-4-20, lp, L, 3526, 8513
1615, 2011-4-11, heinz, L, 2560, 8475
1616, 2003-5-22, edward jones, W, 1498, 2792
1617, 2001-7-10, arrowhead, T, 2350, 2172
1618, 2018-1-12, paul brown, T, 2434, 5296
1619, 2005-11-4, fedexfield, L, 276, 4884
1620, 2009-12-9, raymond james, W, 4505, 8971
1621, 2002-5-10, lincoln, T, 3705, 1747
1622, 2003-2-24, paul brown, L, 2157, 2757
1623, 2014-2-29, lp, W, 2237, 1309
1624, 2010-9-22, hubert metrodome, T, 4399, 9727
1625, 2014-10-5, soldier field ii, L, 4420, 1504
1626, 2001-2-16, heinz, L, 4087, 8489
1627, 2017-8-21, dolphin, L, 3914, 9076
1628, 2000-12-22, louisiana superdome, L, 4873, 2562
1629, 2008-2-15, bank of america, L, 4776, 9903
1630, 2010-5-22, heinz, L, 474, 1046
1631, 2004-8-22, gillette, T, 2508, 6762
1632, 2018-11-25, lucas oil, L, 4267, 3193
1633, 2005-2-23, louisiana superdome, W, 785, 6863
1634, 2017-4-3, cleveland browns, L, 4535, 5078
1635, 2006-8-22, edward jones, L, 1851, 6128
1636, 2014-11-10, edward jones, L, 2417, 1101
1637, 2011-11-4, ford, L, 4498, 6819
1638, 2014-4-10, lucas oil, T, 1339, 9102
1639, 2011-11-12, lambeau, T, 242, 5239
1640, 2015-8-7, fedexfield, W, 3443, 2134
1641, 2002-1-13, ralph wilson, T, 1677, 851
1642, 2005-2-30, university of phoenix, W, 285, 2558
1643, 2010-10-12, candlestick, T, 4495, 9707
1644, 2008-4-20, lp, T, 2117, 5655
1645, 2006-10-14, hubert metrodome, T, 3234, 6713
1646, 2004-8-29, qwest, L, 1761, 435
1647, 2002-7-25, dallas cowboys, W, 3775, 2392
1648, 2016-2-21, soldier field ii, W, 2349, 4342
1649, 2006-12-24, qualcomm, W, 4682, 8784
1650, 2000-2-5, cleveland browns, L, 2027, 5088
1651, 2013-5-4, qualcomm, W, 1453, 3977
1652, 2013-12-3, ralph wilson, L, 3773, 9245
1653, 2013-10-21, lincoln, L, 234, 7355
1654, 2002-9-12, dolphin, W, 3953, 2503
1655, 2011-6-11, oakland-alameda, T, 2547, 8569
1656, 2007-9-16, lucas oil, L, 1911, 4700
1657, 2010-4-17, raymond james, T, 3427, 7149
1658, 2005-12-28, lp, W, 3728, 8151
1659, 2018-12-7, arrowhead, T, 2849, 3251
1660, 2005-11-10, soldier field ii, T, 471, 5603
1661, 2014-6-29, hubert metrodome, L, 4621, 2622
1662, 2015-5-6, giants, W, 2326, 8736
1663, 2018-9-23, louisiana superdome, W, 4995, 5016
1664, 2014-8-3, arrowhead, W, 2391, 2226
1665, 2015-3-26, dolphin, L, 1689, 5997
1666, 2015-11-25, dallas cowboys, W, 3609, 9859
1667, 2011-11-26, fedexfield, W, 4573, 2747
1668, 2006-11-9, lp, L, 189, 352
1669, 2003-8-19, dolphin, T, 3917, 9723
1670, 2000-6-30, raymond james, L, 4799, 8795
1671, 2006-8-1, heinz, W, 4896, 9315
1672, 2012-8-11, qwest, L, 2320, 2561
1673, 2014-4-6, reliant, L, 4619, 5822
1674, 2006-5-1, louisiana superdome, T, 1341, 5688
1675, 2007-5-25, lp, L, 4930, 8104
1676, 2003-1-13, lambeau, L, 1648, 8920
1677, 2008-12-6, giants, T, 2219, 5476
1678, 2009-4-22, georgia dome, W, 3859, 5499
1679, 2003-1-10, arrowhead, W, 3427, 8243
1680, 2013-2-27, heinz, T, 1013, 4502
1681, 2006-9-29, arrowhead, W, 2176, 9874
1682, 2011-4-4, ralph wilson, W, 4522, 335
1683, 2011-1-15, paul brown, W, 2976, 474
1684, 2002-10-12, bank of america, W, 3053, 1299
1685, 2003-2-22, gillette, L, 2696, 7676
1686, 2014-4-26, georgia dome, W, 398, 1218
1687, 2010-9-29, bank of america, L, 1178, 1184
1688, 2011-8-10, reliant, L, 2709, 8171
1689, 2010-1-2, paul brown, T, 3895, 1091
1690, 2012-12-29, raymond james, L, 1384, 6410
1691, 2003-9-10, ford, W, 2902, 3366
1692, 2016-12-15, hubert metrodome, L, 3145, 7731
1693, 2006-10-9, lincoln, L, 3460, 560
1694, 2003-5-17, cleveland browns, L, 690, 6036
1695, 2018-9-30, lincoln, W, 3705, 7223
1696, 2002-4-19, giants, T, 3577, 946
1697, 2015-8-23, louisiana superdome, L, 4695, 2782
1698, 2007-3-5, reliant, T, 1708, 6654
1699, 2000-11-6, heinz, W, 343, 2292
1700, 2017-2-9, lambeau, L, 2892, 6717
1701, 2018-12-24, m&t bank, W, 4732, 2389
1702, 2003-8-6, oakland-alameda, W, 3566, 1048
1703, 2005-9-8, candlestick, L, 689, 6834
1704, 2001-11-4, paul brown, T, 3266, 374
1705, 2018-7-21, arrowhead, T, 3721, 9911
1706, 2011-7-11, edward jones, T, 4729, 3730
1707, 2013-5-24, lp, L, 1956, 1323
1708, 2000-10-7, paul brown, L, 1601, 8525
1709, 2015-5-26, paul brown, T, 2938, 9014
1710, 2014-12-13, georgia dome, L, 714, 1530
1711, 2004-1-12, dallas cowboys, W, 1224, 585
1712, 2001-6-13, gillette, L, 4328, 7470
1713, 2018-11-21, giants, W, 3587, 6806
1714, 2010-11-6, dallas cowboys, T, 761, 1516
1715, 2012-10-17, invesco, T, 3162, 2758
1716, 2003-3-13, m&t bank, L, 664, 9947
1717, 2005-12-14, arrowhead, W, 4272, 4510
1718, 2004-7-19, fedexfield, W, 4505, 1664
1719, 2002-12-13, invesco, T, 2983, 3887
1720, 2001-10-30, lucas oil, W, 4375, 5900
1721, 2017-1-24, lucas oil, L, 3799, 1213
1722, 2001-7-2, cleveland browns, W, 4050, 8962
1723, 2009-3-8, bank of america, L, 2509, 2283
1724, 2013-7-24, cleveland browns, W, 1619, 5794
1725, 2012-1-6, qualcomm, T, 3431, 1138
1726, 2000-11-13, gillette, L, 1059, 367
1727, 2000-6-4, raymond james, W, 4964, 5834
1728, 2009-5-18, dolphin, W, 3716, 8060
1729, 2013-8-19, ralph wilson, T, 1386, 6511
1730, 2015-8-7, everbank, L, 183, 805
1731, 2017-1-17, ralph wilson, W, 2741, 559
1732, 2010-10-30, lincoln, W, 3984, 2955
1733, 2008-7-30, gillette, T, 3833, 7929
1734, 2015-8-10, lp, T, 1535, 2029
1735, 2017-2-7, lambeau, W, 2943, 117
1736, 2006-11-3, hubert metrodome, W, 4262, 9368
1737, 2004-4-27, candlestick, T, 3061, 3480
1738, 2001-2-7, invesco, T, 2643, 2612
1739, 2012-6-16, giants, W, 600, 846
1740, 2002-3-8, invesco, T, 2544, 9055
1741, 2012-8-26, cleveland browns, L, 2537, 8078
1742, 2004-8-14, soldier field ii, T, 1815, 7620
1743, 2000-6-8, dolphin, T, 3061, 9405
1744, 2002-4-15, invesco, T, 3503, 5744
1745, 2003-8-24, university of phoenix, W, 1824, 247
1746, 2010-10-4, oakland-alameda, W, 1344, 9394
1747, 2002-3-30, candlestick, L, 4300, 9078
1748, 2018-1-22, gillette, W, 472, 2146
1749, 2013-12-5, gillette, W, 3749, 5118
1750, 2013-12-3, raymond james, L, 2058, 3977
1751, 2013-8-9, oakland-alameda, W, 3642, 1631
1752, 2011-7-17, edward jones, L, 571, 4976
1753, 2011-11-5, lp, L, 3100, 4630
1754, 2014-12-29, lp, T, 4509, 3166
1755, 2010-8-6, georgia dome, T, 2653, 9255
1756, 2000-5-4, ford, T, 1137, 3821
1757, 2010-4-2, ford, W, 4177, 3638
1758, 2015-7-7, lucas oil, L, 1438, 938
1759, 2016-8-14, reliant, T, 345, 3049
1760, 2009-5-23, everbank, W, 4142, 4859
1761, 2007-10-30, arrowhead, T, 2957, 6220
1762, 2013-10-10, fedexfield, L, 631, 3998
1763, 2012-2-8, qwest, T, 3409, 6559
1764, 2007-9-8, fedexfield, T, 1060, 3115
1765, 2002-8-7, fedexfield, W, 1852, 780
1766, 2010-5-22, fedexfield, L, 547, 2519
1767, 2015-1-27, fedexfield, L, 3738, 5832
1768, 2001-4-17, heinz, W, 2985, 591
1769, 2012-5-11, louisiana superdome, T, 4244, 9475
1770, 2016-7-8, georgia dome, W, 4000, 5115
1771, 2000-3-7, bank of america, L, 4486, 6229
1772, 2003-1-28, everbank, W, 3866, 6350
1773, 2001-12-8, lucas oil, W, 3173, 6441
1774, 2009-12-4, ralph wilson, L, 451, 5736
1775, 2007-1-12, qwest, T, 1747, 3246
1776, 2004-1-8, everbank, T, 3882, 9578
1777, 2002-4-9, dolphin, T, 2002, 8212
1778, 2007-12-5, ford, W, 1818, 1744
1779, 2009-9-28, heinz, T, 179, 7769
1780, 2006-2-6, louisiana superdome, L, 355, 7349
1781, 2008-4-28, lincoln, T, 2770, 3501
1782, 2003-12-14, candlestick, L, 1766, 7952
1783, 2018-8-20, soldier field ii, T, 3593, 5409
1784, 2005-1-8, qwest, W, 4805, 1897
1785, 2002-12-28, heinz, T, 4632, 220
1786, 2004-4-3, heinz, W, 4884, 3505
1787, 2015-3-11, university of phoenix, L, 4727, 4930
1788, 2018-6-21, ford, W, 1840, 3034
1789, 2012-3-30, soldier field ii, L, 2411, 9786
1790, 2011-10-1, university of phoenix, W, 3724, 2298
1791, 2002-3-25, lp, T, 4600, 7944
1792, 2017-12-27, dallas cowboys, W, 1132, 5042
1793, 2002-1-7, raymond james, T, 3387, 7733
1794, 2007-10-12, qwest, T, 4897, 3296
1795, 2018-3-8, dallas cowboys, T, 2804, 7478
1796, 2012-4-2, everbank, L, 408, 6278
1797, 2011-6-3, bank of america, T, 3014, 9880
1798, 2004-12-19, lambeau, L, 731, 116
1799, 2005-7-15, qualcomm, W, 4675, 6988
1800, 2005-11-21, m&t bank, L, 4007, 7306
1801, 2017-9-1, louisiana superdome, L, 3263, 4837
1802, 2003-1-10, candlestick, T, 307, 9511
1803, 2011-7-16, everbank, L, 2095, 4919
1804, 2018-3-24, gillette, W, 3092, 4547
1805, 2014-6-2, dallas cowboys, L, 4698, 5786
1806, 2006-4-4, lincoln, W, 1437, 128
1807, 2005-3-4, paul brown, T, 835, 6713
1808, 2015-1-4, invesco, L, 1015, 1333
1809, 2004-1-20, dolphin, T, 559, 4638
1810, 2000-3-10, gillette, L, 3116, 430
1811, 2016-4-14, cleveland browns, W, 4082, 4645
1812, 2013-6-26, ford, T, 1939, 1873
1813, 2015-2-7, heinz, L, 2425, 9499
1814, 2014-3-28, gillette, L, 3836, 3164
1815, 2003-4-4, qwest, T, 1676, 3704
1816, 2001-9-26, qwest, W, 3240, 5008
1817, 2004-3-27, lucas oil, W, 3047, 4094
1818, 2006-5-25, paul brown, T, 1346, 5350
1819, 2005-12-27, edward jones, L, 2783, 9598
1820, 2010-2-3, oakland-alameda, W, 4312, 5466
1821, 2008-9-18, giants, T, 3090, 301
1822, 2003-3-11, dallas cowboys, T, 1888, 6095
1823, 2006-8-26, paul brown, W, 4224, 6845
1824, 2007-4-8, georgia dome, W, 4396, 2510
1825, 2015-5-14, arrowhead, W, 2270, 8924
1826, 2001-2-16, gillette, W, 2425, 4201
1827, 2013-2-27, oakland-alameda, T, 3459, 3011
1828, 2018-3-24, everbank, L, 4003, 9679
1829, 2007-3-6, reliant, W, 3850, 2442
1830, 2004-5-26, m&t bank, T, 2763, 9712
1831, 2015-2-19, raymond james, T, 3119, 9245
1832, 2005-2-1, louisiana superdome, T, 4727, 2725
1833, 2012-7-12, fedexfield, T, 2393, 7478
1834, 2000-8-22, dallas cowboys, L, 1900, 3862
1835, 2002-12-28, lincoln, L, 1320, 1961
1836, 2009-10-11, ford, L, 3477, 7595
1837, 2014-12-30, gillette, T, 2543, 3483
1838, 2005-1-1, university of phoenix, T, 2008, 2782
1839, 2015-12-2, reliant, W, 2451, 1893
1840, 2016-8-25, lambeau, W, 2683, 9244
1841, 2011-2-14, lambeau, W, 2170, 3707
1842, 2014-4-7, paul brown, L, 4769, 342
1843, 2014-1-7, edward jones, T, 3321, 822
1844, 2014-6-15, gillette, L, 4584, 1361
1845, 2005-5-16, candlestick, W, 3674, 5126
1846, 2008-2-21, qualcomm, L, 4569, 8781
1847, 2014-5-12, georgia dome, T, 2795, 7895
1848, 2006-7-29, georgia dome, L, 2771, 1832
1849, 2006-2-26, candlestick, T, 321, 4088
1850, 2010-4-19, fedexfield, T, 3305, 6622
1851, 2017-9-3, paul brown, W, 3182, 6034
1852, 2007-9-3, arrowhead, L, 1751, 2991
1853, 2015-7-7, paul brown, W, 2574, 1232
1854, 2017-7-28, university of phoenix, T, 4935, 3098
1855, 2004-5-6, invesco, L, 1150, 564
1856, 2006-12-7, lincoln, L, 2472, 4490
1857, 2014-1-30, gillette, L, 1324, 4094
1858, 2015-9-25, university of phoenix, L, 320, 4545
1859, 2003-7-6, dolphin, T, 1897, 5598
1860, 2016-10-7, dolphin, T, 4207, 9064
1861, 2005-4-10, arrowhead, W, 3178, 1626
1862, 2015-3-5, bank of america, L, 3251, 9656
1863, 2014-2-3, ralph wilson, T, 625, 9931
1864, 2010-12-10, lucas oil, W, 4146, 8611
1865, 2012-9-23, lucas oil, L, 3813, 6164
1866, 2007-4-10, cleveland browns, L, 662, 6025
1867, 2003-11-15, invesco, W, 3953, 9045
1868, 2011-2-16, hubert metrodome, T, 826, 9729
1869, 2002-4-4, reliant, L, 4524, 8209
1870, 2006-7-3, dallas cowboys, L, 4617, 7327
1871, 2017-1-19, lincoln, W, 3063, 2779
1872, 2004-7-12, paul brown, W, 4489, 8308
1873, 2012-5-11, candlestick, L, 2934, 5384
1874, 2016-11-4, qualcomm, L, 2154, 7593
1875, 2006-7-27, qwest, T, 592, 5727
1876, 2013-10-17, cleveland browns, W, 4440, 6928
1877, 2017-7-24, m&t bank, W, 1640, 6578
1878, 2005-6-7, edward jones, W, 1509, 3323
1879, 2004-8-17, dallas cowboys, W, 2127, 1892
1880, 2016-7-5, m&t bank, T, 4803, 3944
1881, 2008-11-4, gillette, L, 4979, 5074
1882, 2016-7-15, giants, L, 4998, 110
1883, 2001-8-30, giants, L, 3071, 4352
1884, 2009-12-12, m&t bank, L, 4048, 9264
1885, 2000-7-20, ralph wilson, T, 2471, 908
1886, 2001-2-19, everbank, W, 2680, 2315
1887, 2007-1-16, candlestick, W, 3885, 106
1888, 2007-11-28, louisiana superdome, T, 3408, 9068
1889, 2001-2-21, lambeau, W, 3686, 4141
1890, 2000-4-30, ralph wilson, L, 4746, 3558
1891, 2013-9-1, qwest, L, 2614, 7824
1892, 2018-9-29, bank of america, T, 3814, 2632
1893, 2018-8-30, m&t bank, W, 4717, 983
1894, 2007-12-9, gillette, T, 3641, 8411
1895, 2015-2-5, invesco, L, 3090, 413
1896, 2012-4-16, cleveland browns, T, 2361, 7940
1897, 2001-2-12, university of phoenix, T, 3036, 6857
1898, 2017-8-8, qualcomm, W, 4549, 7332
1899, 2004-6-3, arrowhead, L, 2689, 2787
1900, 2007-2-5, lucas oil, W, 1527, 1187
1901, 2015-7-15, soldier field ii, L, 2797, 3419
1902, 2009-6-5, edward jones, L, 1203, 9045
1903, 2007-11-18, fedexfield, L, 4138, 5208
1904, 2006-7-27, soldier field ii, T, 1242, 2968
1905, 2016-4-21, everbank, T, 1375, 6599
1906, 2003-11-20, louisiana superdome, L, 2915, 912
1907, 2012-3-11, lp, L, 1192, 1864
1908, 2007-2-3, ford, W, 1832, 6606
1909, 2014-2-13, everbank, W, 948, 981
1910, 2015-11-27, fedexfield, L, 3773, 9109
1911, 2010-3-5, fedexfield, W, 4467, 8997
1912, 2008-7-16, hubert metrodome, L, 3436, 7253
1913, 2001-8-24, fedexfield, W, 3927, 5388
1914, 2012-12-30, heinz, W, 354, 181
1915, 2010-11-4, hubert metrodome, W, 4383, 4615
1916, 2001-4-7, invesco, W, 1637, 1869
1917, 2017-1-8, lp, W, 1207, 679
1918, 2006-7-27, lincoln, T, 1381, 2852
1919, 2004-8-14, fedexfield, W, 4467, 150
1920, 2010-3-5, soldier field ii, W, 2849, 7105
1921, 2004-7-30, arrowhead, T, 540, 9574
1922, 2016-3-12, ralph wilson, L, 2159, 7726
1923, 2010-11-22, louisiana superdome, W, 1416, 6217
1924, 2011-1-5, gillette, T, 2566, 6452
1925, 2017-9-24, university of phoenix, L, 1443, 4260
1926, 2013-1-9, hubert metrodome, L, 3235, 6069
1927, 2014-6-28, ford, L, 898, 3215
1928, 2008-11-4, m&t bank, W, 1727, 8091
1929, 2005-12-10, m&t bank, L, 4111, 5051
1930, 2000-11-7, lambeau, L, 1357, 7418
1931, 2017-2-7, ford, T, 3552, 5677
1932, 2018-4-15, ford, T, 3127, 5625
1933, 2005-4-24, qualcomm, T, 160, 8275
1934, 2004-10-5, m&t bank, W, 4804, 6430
1935, 2002-1-28, soldier field ii, T, 4069, 7435
1936, 2013-1-19, fedexfield, W, 4322, 8410
1937, 2003-6-7, lp, L, 2636, 4254
1938, 2010-11-12, bank of america, W, 1533, 5906
1939, 2005-4-12, raymond james, W, 1831, 2180
1940, 2010-3-14, dolphin, L, 4781, 8792
1941, 2016-8-26, lucas oil, W, 825, 4331
1942, 2012-10-23, paul brown, W, 3050, 4751
1943, 2005-12-9, hubert metrodome, T, 3998, 5533
1944, 2011-10-4, everbank, T, 593, 8505
1945, 2013-2-10, giants, L, 2501, 1281
1946, 2011-7-25, dallas cowboys, L, 4476, 4027
1947, 2002-2-7, qualcomm, L, 4514, 7195
1948, 2013-8-4, qualcomm, T, 1334, 6294
1949, 2006-1-23, fedexfield, T, 2538, 6785
1950, 2001-5-28, ralph wilson, T, 920, 5840
1951, 2007-4-17, soldier field ii, L, 1976, 5007
1952, 2001-1-4, georgia dome, L, 961, 6253
1953, 2001-10-23, invesco, L, 3195, 9168
1954, 2008-11-16, soldier field ii, L, 3463, 5897
1955, 2016-11-26, hubert metrodome, L, 945, 291
1956, 2009-11-14, university of phoenix, T, 2809, 7337
1957, 2006-4-25, lp, W, 1466, 7968
1958, 2015-5-17, oakland-alameda, L, 1762, 5427
1959, 2006-9-8, edward jones, L, 487, 5632
1960, 2004-7-2, invesco, L, 3721, 460
1961, 2011-10-17, giants, W, 4627, 7802
1962, 2016-5-10, oakland-alameda, T, 4409, 1260
1963, 2012-12-1, everbank, W, 3787, 7951
1964, 2003-5-23, georgia dome, L, 3182, 4710
1965, 2000-7-6, hubert metrodome, W, 1779, 4368
1966, 2015-4-28, qualcomm, T, 2337, 7766
1967, 2000-6-20, raymond james, T, 393, 2187
1968, 2005-5-28, lambeau, W, 4392, 2119
1969, 2012-6-3, arrowhead, W, 1394, 7122
1970, 2004-1-14, oakland-alameda, W, 3742, 3999
1971, 2018-12-30, bank of america, L, 1627, 4291
1972, 2014-12-23, paul brown, T, 2200, 4472
1973, 2003-4-9, paul brown, T, 307, 288
1974, 2007-12-30, cleveland browns, W, 258, 1376
1975, 2003-9-17, lambeau, L, 4186, 5348
1976, 2013-10-4, m&t bank, L, 2525, 3874
1977, 2016-4-13, louisiana superdome, L, 1932, 4820
1978, 2005-10-23, dallas cowboys, T, 287, 3607
1979, 2016-6-17, m&t bank, W, 4154, 7157
1980, 2009-7-3, arrowhead, L, 971, 8315
1981, 2001-1-21, ford, L, 4447, 3334
1982, 2009-1-1, invesco, T, 4382, 6675
1983, 2016-8-10, dolphin, T, 4355, 8636
1984, 2009-3-5, lambeau, T, 4710, 1564
1985, 2011-7-6, ford, L, 4875, 4963
1986, 2010-9-1, ford, L, 2336, 568
1987, 2006-11-23, paul brown, L, 3180, 4747
1988, 2014-1-13, candlestick, L, 3717, 3134
1989, 2001-8-22, lincoln, W, 652, 7187
1990, 2002-11-28, soldier field ii, T, 3935, 6859
1991, 2006-3-28, invesco, W, 864, 2506
1992, 2016-9-7, gillette, W, 2408, 3534
1993, 2017-2-10, georgia dome, L, 4086, 1547
1994, 2013-8-2, lincoln, L, 3476, 1620
1995, 2003-3-9, everbank, T, 1177, 178
1996, 2017-6-21, gillette, L, 4692, 7567
1997, 2010-2-12, georgia dome, T, 2914, 6946
1998, 2012-7-28, qualcomm, L, 4718, 1386
1999, 2016-4-3, hubert metrodome, L, 3947, 3348
2000, 2018-12-6, arrowhead, W, 4428, 8210
2001, 2013-7-27, oakland-alameda, T, 1495, 7081
2002, 2006-3-15, m&t bank, T, 2131, 6195
2003, 2001-11-2, ford, L, 4239, 8156
2004, 2006-6-22, bank of america, W, 2407, 6961
2005, 2005-2-26, hubert metrodome, W, 3228, 4225
2006, 2006-5-19, giants, L, 4655, 1616
2007, 2004-8-21, lp, W, 3493, 4114
2008, 2016-7-2, edward jones, W, 1186, 4429
2009, 2016-12-25, m&t bank, L, 1010, 7629
2010, 2003-4-3, everbank, T, 323, 6932
2011, 2014-4-5, georgia dome, T, 2579, 141
2012, 2007-8-5, dolphin, W, 2382, 7214
2013, 2014-9-19, ford, T, 3818, 5336
2014, 2008-4-9, lp, L, 641, 5958
2015, 2014-2-12, edward jones, T, 2742, 2899
2016, 2012-4-7, invesco, W, 4881, 5017
2017, 2006-10-21, dolphin, W, 4541, 8032
2018, 2004-8-15, reliant, T, 3082, 5419
2019, 2014-3-13, invesco, W, 2151, 109
2020, 2009-12-19, edward jones, T, 154, 8016
2021, 2003-10-9, edward jones, W, 1614, 4809
2022, 2010-9-17, georgia dome, W, 1344, 5636
2023, 2016-8-3, edward jones, W, 3258, 9322
2024, 2005-4-8, louisiana superdome, L, 1877, 8734
2025, 2001-12-10, heinz, T, 231, 3288
2026, 2009-4-25, lambeau, T, 2051, 1593
2027, 2002-5-27, louisiana superdome, T, 1580, 8280
2028, 2004-1-27, university of phoenix, L, 4999, 4332
2029, 2018-12-28, edward jones, L, 1089, 9473
2030, 2014-11-14, candlestick, W, 3438, 8410
2031, 2000-4-25, oakland-alameda, L, 1855, 9914
2032, 2013-1-11, lambeau, L, 3917, 4591
2033, 2009-3-11, dallas cowboys, L, 1764, 2552
2034, 2012-12-25, candlestick, W, 1899, 2089
2035, 2008-3-15, dolphin, W, 4027, 226
2036, 2018-3-23, hubert metrodome, T, 877, 5517
2037, 2000-8-23, qualcomm, T, 2097, 559
2038, 2010-2-20, invesco, L, 3437, 4419
2039, 2012-12-11, candlestick, T, 4397, 6181
2040, 2015-1-7, cleveland browns, L, 2488, 8256
2041, 2016-1-15, university of phoenix, L, 141, 7518
2042, 2010-9-3, gillette, W, 1962, 6434
2043, 2015-6-5, lucas oil, W, 413, 1948
2044, 2017-12-9, qwest, L, 127, 7336
2045, 2015-7-14, dolphin, W, 1156, 2296
2046, 2014-10-27, giants, L, 1851, 5619
2047, 2008-4-29, soldier field ii, W, 763, 9400
2048, 2004-3-25, hubert metrodome, T, 1793, 1070
2049, 2002-7-26, reliant, T, 3363, 3881
2050, 2010-10-22, arrowhead, W, 2319, 4751
2051, 2012-3-27, paul brown, T, 2945, 5909
2052, 2017-9-25, gillette, W, 3537, 2768
2053, 2011-4-27, lucas oil, W, 2362, 8170
2054, 2007-9-26, dolphin, L, 4738, 9075
2055, 2004-8-22, oakland-alameda, T, 1576, 5600
2056, 2005-2-24, ralph wilson, T, 597, 7759
2057, 2017-3-4, university of phoenix, W, 1354, 122
2058, 2008-8-6, edward jones, L, 2947, 3279
2059, 2003-4-21, lucas oil, W, 3606, 6973
2060, 2018-3-9, heinz, T, 4636, 137
2061, 2004-8-18, dallas cowboys, L, 3730, 5941
2062, 2013-7-20, fedexfield, L, 3476, 2720
2063, 2011-2-26, dallas cowboys, W, 2830, 606
2064, 2016-12-12, arrowhead, L, 2359, 9977
2065, 2011-6-21, university of phoenix, W, 781, 6025
2066, 2006-6-5, reliant, T, 4653, 2051
2067, 2002-1-14, lucas oil, T, 3678, 9408
2068, 2009-5-30, raymond james, W, 491, 3841
2069, 2004-10-13, lp, T, 1358, 4212
2070, 2001-11-30, georgia dome, T, 234, 7945
2071, 2016-7-26, giants, W, 1148, 2126
2072, 2001-4-10, edward jones, L, 1020, 3269
2073, 2015-2-21, soldier field ii, W, 3248, 6875
2074, 2002-6-6, university of phoenix, L, 2153, 4025
2075, 2017-12-14, reliant, T, 3732, 5038
2076, 2013-7-10, dolphin, W, 2795, 851
2077, 2014-5-29, dallas cowboys, T, 1099, 8877
2078, 2013-12-5, lp, L, 3400, 4289
2079, 2001-11-25, qualcomm, L, 934, 6282
2080, 2010-3-18, candlestick, W, 300, 6399
2081, 2008-9-4, giants, T, 259, 2118
2082, 2017-1-19, lincoln, L, 2605, 311
2083, 2018-6-4, dallas cowboys, L, 3644, 9129
2084, 2014-2-14, heinz, L, 2822, 2920
